"Tetsuo Asano","","","President","","http://www.jaist.ac.jp/profiles/info_e.php?syokumei=1"
"Minoru Terano","","","Vice-President","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=93&syokumei=2&p=kekka"
"Teruo Matsuzawa","","","Vice-President","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=153&syokumei=2&p=kekka"
"Yukari Nagai","School of Knowledge Science","Area of Human Life Design","Vice-President","Design Thinking, Theory on design creativity, Creative design process","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=392&syokumei=2&p=kekka"
"Asami Shikida","School of Knowledge Science","Area of Knowledge Management","Professor","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=660&school=1&p=kekka"
"Hiroyuki Honda","School of Knowledge Science","","Professor","Japanese Applied Linguistics,Sociolinguistics","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=599&school=1&p=kekka"
"Ho Tu Bao","School of Knowledge Science","Area of Knowledge Management","Professor","Artificial Intelligence, Machine Learning, Knowledge Discovery and Data Mining","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=9&school=1&p=kekka"
"Kazunori Miyata","School of Knowledge Science","Area of Human Life Design","Professor","CG, media art, multimedia application","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=309&school=1&p=kekka"
"Kazushi Nishimoto","School of Knowledge Science","Area of Human Life Design","Professor","Creative activity support, CSCW, Informal communications, Musical information processing","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=151&school=1&p=kekka"
"Michitaka Kosaka","School of Knowledge Science","","Professor","Research on KOSA(Knowledge science oriented systems approach) model for service innovation","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=522&school=1&p=kekka"
"Mitsuru Ikeda","School of Knowledge Science","Area of Knowledge Management","Professor","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=346&school=1&p=kekka"
"Naoshi Uchihira","School of Knowledge Science","Area of Knowledge Management","Professor","Knowledge Transfer，R&D Management, Service Science, Innovation Management, Knowledge Transfer, Awareness","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=620&school=1&p=kekka"
"Takashi Hashimoto","School of Knowledge Science","Area of Knowledge Management","Professor","Origin and Evolution of Language, Formation of Communication, Institutional Design","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=16&school=1&p=kekka"
"Taketoshi Yoshida","School of Knowledge Science","Area of Knowledge Management","Professor","systems methodology, organizational knowledge-creating process","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=21&school=1&p=kekka"
"Tomoo Yamamoto","School of Knowledge Science","","Professor","Industry-University-Government Cooperation (Policy making, Human Development, IP)","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=560&school=1&p=kekka"
"Tsutomu Fujinami","School of Knowledge Science","Area of Human Life Design","Professor","Skill Science, Skill acquisition, Dementia Care","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=19&school=1&p=kekka"
"Yoji Koda","School of Knowledge Science","Area of Knowledge Management","Professor","""Scientific Approach to Services""","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=573&school=1&p=kekka"
"Riichiro Mizoguchi","School of Knowledge Science","","Research Professor","ontological engineering, AI, intelligent learning support system, service science","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=614&school=1&p=kekka"
"Hideaki Kanai","School of Knowledge Science","Area of Human Life Design","Associate Professor","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=395&school=1&p=kekka"
